clade_name	SRR13327423_met_output	SRR13327424_met_output	SRR13327425_met_output	SRR13327426_met_output	SRR13327427_met_output	SRR13327428_met_output	SRR13327429_met_output	SRR13327430_met_output	SRR13327431_met_output	SRR13327432_met_output	SRR13327433_met_output	SRR13327434_met_output	SRR13327435_met_output	SRR13327436_met_output	SRR13327437_met_output	SRR13327438_met_output	SRR13327439_met_output	SRR13327440_met_output	SRR13327441_met_output	SRR13327442_met_output	SRR13327443_met_output	SRR13327444_met_output	SRR13327445_met_output	SRR13327446_met_output	SRR13327447_met_output	SRR13327448_met_output	SRR13327449_met_output	SRR13327450_met_output	SRR13327451_met_output	SRR13327452_met_output	SRR13327453_met_output	SRR13327454_met_output	SRR13327455_met_output	SRR13327456_met_output	SRR13327457_met_output	SRR13327458_met_output	SRR13327459_met_output	SRR13327460_met_output	SRR13327461_met_output	SRR13327462_met_output	SRR13327463_met_output	SRR13327464_met_output	SRR13327465_met_output	SRR13327466_met_output	SRR13327467_met_output	SRR13327468_met_output	SRR13327469_met_output	SRR13327470_met_output	SRR13327471_met_output	SRR13327472_met_output	SRR13327473_met_output	SRR13327474_met_output	SRR13327475_met_output	SRR13327476_met_output	SRR13327477_met_output	SRR13327478_met_output	SRR13327479_met_output	SRR13327480_met_output	SRR13327481_met_output	SRR13327482_met_output	SRR13327483_met_output	SRR13327484_met_output	SRR13327485_met_output	SRR13327486_met_output	SRR13327487_met_output	SRR13327488_met_output	SRR13327489_met_output	SRR13327490_met_output	SRR13327491_met_output	SRR13327492_met_output	SRR13327493_met_output	SRR13327494_met_output	SRR13327495_met_output	SRR13327496_met_output	SRR13327497_met_output	SRR13327498_met_output	SRR13327499_met_output	SRR13327500_met_output	SRR13327501_met_output	SRR13327502_met_output	SRR13327503_met_output	SRR13327504_met_output	SRR13327505_met_output	SRR13327506_met_output	SRR13327507_met_output	SRR13327508_met_output	SRR13327509_met_output	SRR13327510_met_output	SRR13327511_met_output	SRR13327512_met_output	SRR13327513_met_output	SRR13327514_met_output	SRR13327515_met_output	SRR13327516_met_output	SRR13327517_met_output	SRR13327518_met_output	SRR13327519_met_output	SRR13327520_met_output	SRR13327521_met_output	SRR13327522_met_output	SRR13327523_met_output	SRR13327524_met_output	SRR13327525_met_output	SRR13327526_met_output	SRR13327527_met_output	SRR13327528_met_output	SRR13327529_met_output	SRR13327530_met_output	SRR13327531_met_output	SRR13327532_met_output	SRR13327533_met_output	SRR13327534_met_output	SRR13327535_met_output	SRR13327536_met_output	SRR13327537_met_output	SRR13327538_met_output	SRR13327539_met_output	SRR13327540_met_output	SRR13327541_met_output	SRR13327542_met_output	SRR13327543_met_output	SRR13327544_met_output	SRR13327545_met_output	SRR13327546_met_output	SRR13327547_met_output	SRR13327548_met_output	SRR13327549_met_output	SRR13327550_met_output
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	10.92318	9.407	1.30714	16.84393	0.91417	11.60921	7.75458	26.3383	8.98567	6.47541	18.4502	12.30195	8.32888	10.77225	8.69626	20.59191	9.70527	4.73665	12.29295	2.24756	6.55851	12.9549	0.30543	23.56515	0.67803	7.15186	3.1832	0.0	1.24737	14.8342	0.38851	14.3666	0.04409	3.68559	17.74212	8.77181	10.51688	7.49357	0.0	4.13268	3.87001	11.77159	10.0455	7.28243	6.73654	9.16139	1.46201	17.77597	19.07903	3.71173	5.35796	1.1971	0.0	9.62518	9.84797	13.66209	10.88398	3.96296	9.25605	3.2829	4.94534	6.75482	0.56421	3.93595	8.90202	0.0	8.00967	5.51184	4.42804	0.0	6.48859	1.41078	3.13765	1.51696	1.23988	8.84557	4.0928	1.3394	4.37217	9.39516	2.31597	7.7382	10.65028	2.5612	6.16066	2.84165	7.11876	3.9815	5.17276	3.49054	2.42657	10.8743	5.75893	1.59068	15.59624	7.99229	5.08598	2.24296	3.15084	3.46558	2.94418	2.97513	20.05297	0.0	11.54676	10.19414	4.48429	6.48843	7.61974	11.95917	3.24727	0.96622	4.69629	12.75561	6.70523	9.63231	21.24207	3.9335	9.67168	20.97256	23.75816	11.87119	16.76514	9.21751	2.1287	1.82243	2.53341	0.10697
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	8.3618	0.0	8.04056	0.40155	1.19151	4.89472	3.45602	0.27474	1.04491	0.0	1.86535	6.29123	6.58475	0.0	0.67785	0.0	18.40249	0.00022	2.3934	0.87469	0.57196	9.81168	9.03364	3.37288	3.34365	3.66222	5.49191	6.69669	0.0	2.26188	45.7162	1.71252	0.0	0.00109	2.50856	0.0	0.00683	7.86715	0.0	5.62343	24.15956	3.55849	18.6112	0.00124	0.52671	0.0	0.0	2.72102	14.1718	4.44964	13.59605	0.0	0.0	0.4921	6.4866	1.7272	5.8393	39.36332	1.94923	4.77226	8.43628	12.1605	0.0	4.10904	10.56266	0.0	0.2661	1.80774	7.93043	5.53708	0.0	0.57251	3.85548	4.09354	15.85572	0.16817	5.63093	0.0	12.98423	7.133	0.94395	19.12173	2.8278	0.0	2.65044	11.17069	4.29019	0.0	4.16315	1.6561	27.43511	0.11419	22.93528	6.87767	0.0	0.0	1.81017	2.40001	0.0	8.03097	0.0	0.0	0.0	32.57815	19.12899	2.1179	7.25623	13.1337	8.57353	0.0025	1.41208	2.47462	0.06202	8.04959	7.92161	0.70483	14.71577	4.79079	2.02756	12.52693	0.24981	3.3301	3.72606	0.0	9.98941	11.31401	13.28322	27.81412
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	7.07656	0.0	0.00213	1.82343	0.00526	5.39722	2.71626	0.0	0.0	0.0	2.07122	0.88335	0.00224	9.68003	0.005	2.57867	0.0	0.0	0.71192	0.0127	0.18342	1.51289	0.30382	0.0	0.02783	0.0	3.74951	0.0	0.0	0.0	0.0	0.0	0.0	4e-05	0.0	0.0	0.00433	6.10221	0.0	0.0	1.55992	2.30206	0.0	0.0	0.69679	0.0	0.0	0.00663	8.96214	0.33444	0.0	0.15225	0.0	0.6307	1.64383	0.58795	0.0	0.00369	0.0	0.36396	0.0	0.12046	0.0	0.10498	0.2292	0.0	0.6911	3.55191	0.0	0.50081	0.0	0.0	1.04215	5.27667	0.07386	5.19191	0.04261	0.0	0.0	8.01505	0.0067	0.74066	0.0	0.0	0.0	0.0	0.0	0.43729	0.0	0.0	2.97898	0.16958	0.0	0.92063	0.00564	0.0	12.24704	0.0	0.0	0.0	0.09376	0.0	0.0	0.0	7.5351	13.27744	1.30106	0.0	0.0957	0.0	7.55141	0.06879	0.06897	0.32456	0.0	0.66817	0.0	0.0	0.0	0.0	2.59726	0.02152	0.0	6.98267	0.00035	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter_faecis	6.0921	0.0	0.0	0.34407	0.0	0.6882	3.48437	0.0	0.0	0.83248	0.00047	2.13134	0.0	0.23573	0.0	0.0	2.27446	0.0	1.30503	0.0	2.88168	0.0	0.0	0.83952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.73137	0.0	0.0	0.0	0.0	0.0	0.0	7.60571	6.60336	0.0	0.0	0.0	0.10169	0.0	0.0	0.0	0.56819	0.76982	4.79206	0.0	0.0	0.0	0.0	0.0	0.0	1.27591	0.0	0.0	0.0	0.0	0.97989	0.0	0.0	1.53706	0.00393	0.0	14.01975	0.0	31.54292	0.64885	3.13485	0.55864	1.32512	0.0	0.0	0.0	0.0	1.31457	0.0	0.78527	3.82474	1.78831	0.0	1.0253	0.0	0.0	0.87033	0.0	0.0	0.75847	1.148	7.28164	6.51756	3.94937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.57084	1.16015	0.0	0.0	0.0	0.0	0.0	0.0	1.69465	0.0	2.09645	2.26528	0.0	0.08981
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	6.07732	7.107	13.76731	3.66934	4.28634	3.04254	3.09292	10.13673	12.45317	5.87047	16.83604	3.18783	4.19641	6.84441	6.42959	1.74824	5.26024	3.73052	4.59485	5.46152	6.11163	5.84126	3.37365	7.25019	2.685	4.98599	11.06487	13.85265	26.10338	6.36375	3.26818	5.17356	19.59316	7.228	10.76865	37.75961	14.72351	1.17348	9.74629	14.12652	11.75487	2.57352	6.60924	7.89424	5.65391	3.21322	9.75223	23.70088	13.0749	2.061	4.28677	2.60795	10.51915	4.0138	4.42751	7.58511	6.03108	3.59558	3.28917	5.35948	2.39258	4.15144	13.12901	2.72625	4.88472	0.0	2.7568	3.53946	14.55084	0.0	0.0	1.89086	6.94599	4.48868	0.69099	4.55172	9.28359	4.35887	12.42359	3.15637	3.89627	10.18884	5.55872	0.9327	3.74054	10.29428	11.12011	17.16823	8.17143	18.30976	3.13603	2.8008	0.07171	5.50393	4.99983	13.6924	2.32941	8.3877	4.19197	0.02284	13.08952	12.0967	17.0841	4.9383	3.26954	4.05108	13.68724	5.09709	6.06488	23.96618	10.08689	6.90424	5.48724	14.90396	2.89723	8.75053	5.33376	11.65839	2.60141	5.65809	5.26819	4.75553	10.17263	19.1295	3.6268	9.6225	9.67739	0.41555
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	5.45401	3.74651	15.44286	2.28936	7.62891	9.83792	2.20275	0.76324	3.80443	5.92947	7.57551	10.04666	8.59119	1.24713	0.55467	15.28918	4.46565	0.00048	1.81896	4.22398	0.72679	1.21583	2.88643	2.41925	7.04278	1.48127	4.25146	6.46734	0.0	1.21534	5.98318	3.07817	10.25956	6.93729	1.93561	0.0	7.23712	4.55962	0.0	9.74048	5.38918	3.00249	8.00035	16.80561	1.4091	1.27066	10.26496	1.48588	13.37514	6.18985	5.28998	13.65492	0.0	1.19431	3.83856	3.22297	1.41202	6.47377	3.38051	10.23755	5.26071	10.74717	26.31317	5.7498	1.72263	0.0	3.49889	3.72874	12.06578	6.36952	25.39632	14.57854	0.94855	0.90048	10.67675	3.04784	9.29376	6.89082	2.17512	2.35766	7.17015	10.08063	1.28809	0.0	1.9447	4.66241	2.33507	1.09521	1.20164	0.17206	6.12971	1.33769	5.56569	4.28656	8.01394	0.0	1.71997	3.6679	0.0	2.42357	0.0	14.18951	10.51535	12.87742	7.57706	7.39449	10.12208	5.39305	3.83084	12.71199	2.11941	2.78248	5.96916	2.71772	3.84171	0.98817	7.94139	3.98668	1.83443	6.7983	1.74953	2.53051	2.33355	3.08299	8.72238	10.33079	4.58193	21.84627
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger|s__Gemmiger_formicilis	5.32485	0.0	0.56647	0.36992	1.72468	0.0252	1.87139	0.00146	0.0	0.0	1.15599	4.42329	0.0	3.0485	1.99557	0.0	2.36059	0.0	2.50513	0.0	0.0	0.99846	7.46444	0.0	0.0	5.69481	0.0	0.0	0.0	1.38573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54166	0.0	5.27279	0.0	0.0	0.0	1.67709	0.0	0.0	0.0	5.05419	5.49128	0.0	20.44215	3.85189	7.45792	0.00202	0.018	3.76412	0.0	0.00994	0.0	0.0	2.44817	9.00162	0.0	12.43031	0.0	0.0	2.24134	0.0	2.76052	0.0	4.13321	0.0	0.0	2.80121	0.76695	0.0	2.23239	0.25198	0.0	0.0	0.0	4.12818	0.0	0.0	0.0	4.3839	0.0	4.52421	0.0	7.43016	0.0459	0.0	0.0	0.97533	3.67197	0.0	0.0	0.0	0.0	0.0	0.0	2.73228	0.0	0.0	14.92445	7.92302	2.5773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61907	0.0	3.79927	0.44263	0.0	3.35436	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	4.28208	9.30062	5.56569	0.84122	0.5557	2.4092	3.45072	2.12075	1.38901	2.25253	0.6345	0.9297	1.95991	1.11587	2.12371	2.65953	4.60543	7.53975	1.26635	6.75648	1.04469	3.85394	0.0	3.93713	2.77946	1.6596	4.32004	0.0	3.00051	2.93497	3.02339	0.0	0.38283	0.00302	4.09327	4.42281	7.48969	2.42846	3.18082	0.0	6.03181	1.25907	3.25105	6.79861	1.6373	2.17149	0.0	0.00396	4.91701	2.93158	0.0	4.83414	0.0	1.09281	1.5988	6.21393	2.85518	5.82938	2.09044	3.79618	0.37965	6.28149	9.78273	0.38059	3.8147	0.0	0.79597	1.79686	0.0	3.61927	0.0	6.13791	3.10508	2.74387	0.01666	0.0	0.51013	1.08176	0.0	1.70366	1.98369	3.70007	2.73867	5.57495	1.42958	0.0	14.33203	12.14482	1.86218	1.29022	0.0	0.84144	0.0	1.24797	0.0	7.07823	1.49519	3.68717	0.0	0.0	0.02756	0.0	0.0	2.02796	3.94272	2.18454	13.62808	3.15405	0.75081	7.75432	1.15432	0.14025	0.81828	4.86648	6.77546	2.77479	6.21267	5.41201	2.52895	7.84402	0.66305	0.82121	4.11255	4.18019	1.67977	2.94009	5.79324	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus	3.9796	0.0	0.04396	0.0	0.0	2.3972	1.02547	0.29871	6.23868	0.09312	0.02307	0.0	0.2966	3.57706	3.49387	0.0	0.0	0.0	0.48042	5.2141	0.0	1.26672	0.29177	0.34168	0.09097	2.63996	4.9742	0.0	0.1403	0.0	0.05155	1.67238	0.00047	1.10834	0.0	0.0	2.39279	0.0	0.0	1.14011	1.12712	3.98778	0.0	0.0	1.14815	0.0	1.1719	2.63963	2.47325	0.01018	2.54407	0.0	0.0	1.84497	0.0	0.0	0.08562	0.11519	0.37893	0.0	0.0	0.06098	0.0	0.45312	5.31055	0.0	0.0	0.0	0.29947	0.0	4.42824	0.81539	1.28955	0.0	0.25551	0.0	0.0	0.34151	0.61358	0.0	2.04927	0.0	0.83571	0.0	0.05957	3.13596	0.0	0.0	0.33956	4.16938	0.0	0.08141	0.0	0.0	0.38293	2.83186	3.25614	0.0	3.23152	2.86627	0.0	2.71191	0.0	1.4758	0.0	1.76753	0.90333	2.1107	0.94366	0.00019	1.68907	0.08901	1.76712	1.42177	5.74752	0.11727	1.04438	0.16494	0.53264	1.73672	0.0	0.0	9.5277	1.26918	0.18552	0.0	0.41388	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	3.85667	6.35349	0.22685	2.43486	3.37452	3.51193	4.55753	5.35415	12.10956	4.34753	0.61486	5.35086	3.61503	3.46157	4.78479	6.90189	0.0	2.31027	1.45868	1.55473	0.99738	6.74997	0.0	5.88945	3.61316	3.65096	0.0	0.0	4.32965	0.0	4.12888	6.04831	0.0	2.12154	0.0	0.0	0.0043	5.49425	5.33148	1.15969	0.0	6.90692	3.13415	7.62205	5.27925	4.94852	3.54196	0.0	0.0	1.94449	0.0	0.0	0.0	3.43125	1.68161	5.36564	4.19969	1.46679	1.90048	10.18016	4.05736	7.58511	0.0	2.61218	0.0	0.0	2.94259	5.04916	1.3187	5.35504	0.0	0.46908	3.56077	1.32166	3.48087	4.79976	4.97012	2.028	0.91223	0.78888	3.40961	4.08358	6.89504	5.29821	2.31102	7.64426	7.54476	5.90469	1.55121	3.01072	7.28936	0.50118	2.12461	7.96715	4.28722	4.60537	5.44819	1.933	7.39772	0.78622	14.73541	2.89834	0.0	0.0	7.12142	5.48806	5.09478	3.99845	1.10591	0.00084	4.96542	4.17029	2.37295	0.0	1.95338	1.24207	11.82721	1.13648	8.63586	10.90182	2.13377	2.62066	0.0	0.0	4.67848	0.0	13.66968	0.0
